Wall time,Step,Value
1696904927.784658,40000,15329006.0
1696906227.0925703,80000,16610866.0
1696907248.2680633,120000,16009182.0
1696907880.5641727,160000,16770797.0
1696908516.8460495,200000,16471980.0
1696909147.7879052,240000,16475083.0
1696909775.8411732,280000,16768047.0
1696910406.5747073,320000,17199456.0
1696911043.9976165,360000,16876734.0
1696911688.529776,400000,17202868.0
1696912320.0413213,440000,17128266.0
1696912950.2784948,480000,17245810.0
1696913691.5996912,520000,17099950.0
1696914335.3752375,560000,17115842.0
1696915007.4431174,600000,16920760.0
1696915744.7146814,640000,17461166.0
1696916541.4880114,680000,17005788.0
1696917221.3484437,720000,17045452.0
1696917887.3945491,760000,16878754.0
1696918548.2623146,800000,16918552.0
1696919222.0459425,840000,16912416.0
1696919888.8244715,880000,17156170.0
1696920570.7855678,920000,16929728.0
1696921259.3393674,960000,17075106.0
1696921952.6379132,1000000,17350806.0
1696922643.2638075,1040000,17036966.0
1696923348.7372937,1080000,17161816.0
1696924048.458811,1120000,17488108.0
1696924749.453027,1160000,17459530.0
1696925438.6228554,1200000,17233474.0
1696926125.7676985,1240000,16968440.0
1696926825.9522562,1280000,17108960.0
1696927530.7236834,1320000,17178824.0
1696928237.2106173,1360000,17300474.0
1696928935.0568867,1400000,17276922.0
1696929627.8107984,1440000,17022812.0
1696930312.7437205,1480000,16990642.0
1696931015.750815,1520000,17303778.0
1696931719.5509846,1560000,16803994.0
1696932422.3308249,1600000,17278970.0
1696933199.4276319,1640000,17141988.0
1696934026.4593935,1680000,17099652.0
1696934868.3277214,1720000,17069394.0
1696935642.5671737,1760000,17355998.0
1696936477.5086155,1800000,17563594.0
1696937199.740877,1840000,17010256.0
1696937912.0467427,1880000,17113982.0
1696938599.2084057,1920000,17345416.0
1696939283.9635227,1960000,17135978.0
1696939986.8981795,2000000,17091372.0
1696940687.5858715,2040000,17151396.0
1696941390.2983162,2080000,17390466.0
1696942094.136461,2120000,17427718.0
1696942789.3040445,2160000,16830244.0
1696943479.8186367,2200000,17327410.0
1696944148.6742756,2240000,17126952.0
1696944768.0122375,2280000,17327434.0
1696945459.6036716,2320000,17268976.0
1696946144.4403017,2360000,17096926.0
1696946853.4041498,2400000,16654514.0
1696947545.9461725,2440000,16855970.0
1696948250.953547,2480000,17358912.0
1696948947.534514,2520000,16908754.0
1696949626.6162975,2560000,17274282.0
1696950311.3305285,2600000,17237872.0
1696951012.849456,2640000,17036292.0
1696951704.418721,2680000,17154496.0
1696952407.957181,2720000,17049062.0
1696953095.57275,2760000,16856282.0
1696953768.282945,2800000,17101702.0
1696954468.799457,2840000,17278706.0
1696955155.7741055,2880000,16938186.0
1696955849.834419,2920000,16873510.0
1696956546.5490804,2960000,17593932.0
1696957257.0894153,3000000,17134430.0
1696958011.199512,3040000,17164636.0
1696958772.2380195,3080000,16973108.0
1696959553.0881538,3120000,17021286.0
1696960327.677916,3160000,17230620.0
1696961089.5345302,3200000,16656478.0
1696961861.3517532,3240000,16898966.0
1696962627.1481168,3280000,16875612.0
1696963383.4407542,3320000,17104460.0
1696964172.3132193,3360000,17137554.0
1696964936.1635942,3400000,17341466.0
1696965697.9560294,3440000,17361898.0
1696966479.3817108,3480000,17048576.0
1696967246.262828,3520000,17090088.0
1696968010.1683311,3560000,17365918.0
1696968798.176032,3600000,17051520.0
1696969559.0428724,3640000,16857930.0
1696970334.848225,3680000,16632418.0
1696971118.3904245,3720000,17557028.0
1696971884.487249,3760000,17205320.0
1696972647.2490776,3800000,17230504.0
1696973446.2399948,3840000,16784182.0
1696974215.621878,3880000,16800170.0
1696974973.5157664,3920000,17266488.0
1696975761.2942894,3960000,17150440.0
1696976538.3499851,4000000,17230104.0
1696977301.0181768,4040000,17220920.0
1696978087.5156379,4080000,16733253.0
1696978859.0309293,4120000,17400828.0
1696979623.1099586,4160000,16899052.0
1696980398.7376904,4200000,16644782.0
1696981172.272748,4240000,16919728.0
1696981938.0704448,4280000,16970332.0
1696982724.4733553,4320000,16603162.0
1696983508.2413118,4360000,17002052.0
1696984279.878997,4400000,17109896.0
1696985052.2153964,4440000,17127868.0
1696985814.707151,4480000,16422294.0
